smiles,hof
C1OC2CC1N=CO2,-52.74
CC1NC(=O)C1(O)C=O,-95.69
CC1C(C)C11CCC=C1,21.68
CC(C)N1N=NOC1=N,23.71
CC(C)OC(C)CO,-113.91
NC(N)=[NH+]CC([O-])=O,-89.13
CC(N(C)C)C(=O)C#C,20.11
CC1=CC(N)=NC=C1F,-35.38
O=CCN1C2CC1C=C2,56.28
C1CN1C1=NNC=C1,72.58
N=C1OC2OCC3C2N13,-12.20
CC1=CC2(CC2)C(=O)C1,-7.02
CC1OC(C#C)C1(C)C,17.28
OCCN1C2CC=CC12,13.73
COC1CCC1C,-38.88
OCC(O)C1CC1,-71.60
CC(C#C)C12CCC1O2,57.41
CC1=CCC2(CO)OC12,-40.96
NC(=O)NC1=CC=NO1,-31.27
COC1COC(=N)C=C1,-45.73
CN=C1NC(C)(C)C1O,-23.56
CC1CC1(O)C(O)C=O,-101.11
CCCCC#CCO,-10.17
OC1CCC1C1(O)CC1,-49.66
CCCCOC1(C)CC1,-49.96
OC1CC2OC1C2C=O,-68.14
O=CC12CC(C1)N=CO2,-19.61
[O-]C(=O)C1CC[NH2+]1,-68.64
CC1(C)CCCC1(C)C,-38.96
O=C1OCC2(CN2)C1=O,-63.33
CCOC1=NC=C(C)N1,-33.86
CCC1(C)NC1C#CC,54.71
CC(C)N=C1NC=CO1,-17.69
CC1(CC1(C)C#N)C#C,94.33
CC1=NC=C(F)N=C1C,-33.41
CC1(C#C)C2C3CN1C23,151.51
CCC1=COC(=N)C=C1,-8.05
CC1(C=O)C(O)C1C=O,-82.25
N=C1OC2CC1C2C#C,69.63
CC1CC=C(CC#N)C1,29.57
C(C1CO1)N1C2CC1C2,62.51
OCC12COC1CCO2,-96.33
OC12C3C1N1CCC3C21,59.04
NCC(N)(C#C)C#N,94.94
CN=COC1(CC1)C#N,29.90
CC1=NOC(NC=O)=C1,-31.00
N=C1NC=NC=C1C#C,103.26
CCCC(=O)C1CCO1,-68.66
NC1=COC2=NC=CN12,29.06
CC(=O)NCCCC#N,-37.76
OC1C2C3CC2C(O)C13,-16.24
OC1C2NC2C(O)C1O,-90.59
