epoch,step,train_loss,val/mse,val_loss
0,49,0.0860520601272583,,
0,99,0.10885285586118698,,
0,149,0.06511857360601425,,
0,167,,0.3388640880584717,0.3388640880584717
1,199,0.048304833471775055,,
1,249,0.06619250774383545,,
1,299,0.05654086917638779,,
1,335,,0.10561691224575043,0.10561691224575043
2,349,0.06165087968111038,,
2,399,0.03229872137308121,,
2,449,0.032579321414232254,,
2,499,0.07720872759819031,,
2,503,,0.030681340023875237,0.030681340023875237
3,549,0.04201871156692505,,
3,599,0.0356278270483017,,
3,649,0.0702919065952301,,
3,671,,0.040847018361091614,0.040847018361091614
4,699,0.06656210124492645,,
4,749,0.02176106721162796,,
4,799,0.026789210736751556,,
4,839,,0.04683849960565567,0.04683849960565567
5,849,0.043916620314121246,,
5,899,0.019730815663933754,,
5,949,0.07517286390066147,,
5,999,0.09437169879674911,,
5,1007,,0.021950257942080498,0.021950257942080498
6,1049,0.011392178013920784,,
6,1099,0.05146479234099388,,
6,1149,0.0275836493819952,,
6,1175,,0.026815006509423256,0.026815006509423256
7,1199,0.05182979255914688,,
7,1249,0.02381967566907406,,
7,1299,0.048455964773893356,,
7,1343,,0.07291606813669205,0.07291606813669205
8,1349,0.015266850590705872,,
8,1399,0.04464392364025116,,
8,1449,0.0681697428226471,,
8,1499,0.026685155928134918,,
8,1511,,0.02157284878194332,0.02157284878194332
9,1549,0.020365191623568535,,
9,1599,0.07669965922832489,,
9,1649,0.02490200474858284,,
9,1679,,0.03869635611772537,0.03869635611772537
10,1699,0.03113819658756256,,
10,1749,0.016663864254951477,,
10,1799,0.015481630340218544,,
10,1847,,0.02170231193304062,0.02170231193304062
11,1849,0.014703626744449139,,
11,1899,0.041559744626283646,,
11,1949,0.15723222494125366,,
11,1999,0.027942819520831108,,
11,2015,,0.02024182863533497,0.02024182863533497
12,2049,0.027687150985002518,,
12,2099,0.0396040640771389,,
12,2149,0.02123609185218811,,
12,2183,,0.0160223301500082,0.0160223301500082
13,2199,0.01850026473402977,,
13,2249,0.020619820803403854,,
13,2299,0.016699332743883133,,
13,2349,0.016274891793727875,,
13,2351,,0.014357990585267544,0.014357990585267544
14,2399,0.012466195970773697,,
14,2449,0.01555989496409893,,
14,2499,0.02369067817926407,,
14,2519,,0.046282973140478134,0.046282973140478134
15,2549,0.009345101192593575,,
15,2599,0.01981198415160179,,
15,2649,0.01184295117855072,,
15,2687,,0.025775479152798653,0.025775479152798653
16,2699,0.1367316097021103,,
16,2749,0.020746946334838867,,
16,2799,0.025553686544299126,,
16,2849,0.015387170948088169,,
16,2855,,0.01343496423214674,0.01343496423214674
17,2899,0.014161208644509315,,
17,2949,0.00907604768872261,,
17,2999,0.0071741268038749695,,
17,3023,,0.017660800367593765,0.017660800367593765
18,3049,0.013591204769909382,,
18,3099,0.01800890453159809,,
18,3149,0.04835836961865425,,
18,3191,,0.015806613489985466,0.015806613489985466
19,3199,0.016243910416960716,,
19,3249,0.01155080646276474,,
19,3299,0.013267287984490395,,
19,3349,0.01739601232111454,,
19,3359,,0.020942064002156258,0.020942064002156258
20,3399,0.07844405621290207,,
20,3449,0.010975458659231663,,
20,3499,0.013050775974988937,,
20,3527,,0.01290273480117321,0.01290273480117321
21,3549,0.008272314444184303,,
21,3599,0.006261518225073814,,
21,3649,0.014648168347775936,,
21,3695,,0.015484078787267208,0.015484078787267208
22,3699,0.007336047478020191,,
22,3749,0.015852781012654305,,
22,3799,0.017897916957736015,,
22,3849,0.009586190804839134,,
22,3863,,0.014175912365317345,0.014175912365317345
23,3899,0.033581458032131195,,
23,3949,0.04780089855194092,,
23,3999,0.018291380256414413,,
23,4031,,0.009987995028495789,0.009987995028495789
24,4049,0.008594680577516556,,
24,4099,0.008945146575570107,,
24,4149,0.007696845568716526,,
24,4199,0.021941617131233215,,
24,4199,,0.01986231841146946,0.01986231841146946
25,4249,0.007841956801712513,,
25,4299,0.021587954834103584,,
25,4349,0.020484771579504013,,
25,4367,,0.018420543521642685,0.018420543521642685
26,4399,0.00741550512611866,,
26,4449,0.01940276473760605,,
26,4499,0.005719047039747238,,
26,4535,,0.022603508085012436,0.022603508085012436
27,4549,0.009175263345241547,,
27,4599,0.0065211039036512375,,
27,4649,0.026872670277953148,,
27,4699,0.009265093132853508,,
27,4703,,0.014402828179299831,0.014402828179299831
28,4749,0.00433870917186141,,
28,4799,0.010891198180615902,,
28,4849,0.0049518803134560585,,
28,4871,,0.03209545090794563,0.03209545090794563
29,4899,0.01377213653177023,,
29,4949,0.010754339396953583,,
29,4999,0.007709202356636524,,
29,5039,,0.016709085553884506,0.016709085553884506
30,5049,0.020397067070007324,,
30,5099,0.005650255363434553,,
30,5149,0.014448179863393307,,
30,5199,0.008948972448706627,,
30,5207,,0.011107017286121845,0.011107017286121845
31,5249,0.025896161794662476,,
31,5299,0.009452298283576965,,
31,5349,0.00481682363897562,,
31,5375,,0.010123342275619507,0.010123342275619507
32,5399,0.007650223094969988,,
32,5449,0.015614689327776432,,
32,5499,0.006382366176694632,,
32,5543,,0.01014056894928217,0.01014056894928217
33,5549,0.012161483988165855,,
33,5599,0.012865256518125534,,
33,5649,0.00831887498497963,,
33,5699,0.005841039586812258,,
33,5711,,0.00925468374043703,0.00925468374043703
34,5749,0.004030812997370958,,
34,5799,0.019650695845484734,,
34,5849,0.01531919278204441,,
34,5879,,0.010550694540143013,0.010550694540143013
35,5899,0.0070410799235105515,,
